a:-0.5213301952198949,b:-682.2671090519345,x0:-217.13026182777077,y0:-569.0705472651159,x1:-282.2629438593272,y1:-535.1149134264092
a:-0.21852877189291278,b:695.9555892007702,x0:601.6734755101024,y0:564.4726235170069,x1:901.4560114601153,y1:498.9615141009077
a:2.1459708319602093,b:830.8537726175701,x0:-560.9720659921111,y0:-372.9759185459578,x1:-497.17993465313134,y1:-236.07986538393254
a:4.063455058126099,b:-3291.9275697854364,x0:779.763353187965,y0:-123.39422813243239,x1:722.4140007605386,y1:-356.4307443339144
a:-0.26324629175138825,b:-667.5149459543427,x0:53.26152953014243,y0:-681.5358460961597,x1:-88.2794397151217,y1:-644.2757108114466
a:6.658917322033743,b:-1947.1201884575066,x0:229.90247543953333,y0:-416.2186123747609,x1:174.19821139544948,y1:-787.1487011290524
a:-0.27168948262895837,b:717.6186433692745,x0:223.83936581216975,y0:656.803841879772,x1:437.1546323132854,y1:598.8483274872256
a:-0.2651163946689097,b:716.7083502265697,x0:-32.92012282895273,y0:725.4360145030392,x1:288.8782543919663,y1:640.1219889239235
a:4.673811648521913,b:-3787.568613204432,x0:819.7433628032102,y0:43.75746466373635,x1:771.7627467410815,y1:-180.4948975906982
a:-0.2692060690210056,b:688.9743812661001,x0:-723.7370416914752,y0:883.8087852647537,x1:-289.89758321992093,y1:767.0165700634248
a:4.154751326835244,b:-3359.7657622480624,x0:673.6605885999846,y0:-560.8735379256644,x1:637.0928934394509,y1:-712.8032179131988
